"ITTER107","Territory","TIPO_DATO_CIS","Indicators","ATECO_2007","NACE 2007","CLLVT","Size classes of persons employed","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","POPU","total enterprises","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",157826,,
"IT","Italy","POPI","enterprises with innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",76895,,
"IT","Italy","POPIP","enterprises with innovation activities (percentage of on total enterprises)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",48.7,,
"IT","Italy","PTC","enterprises with product o process innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",60138,,
"IT","Italy","PTCP","enterprises with product o process innovation activities (percentage on total enterprises)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",38.1,,
"IT","Italy","PTCS","enterprises that have introduced product o process innovations ","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",56371,,
"IT","Italy","PTCSC","enterprises that have introduced product o process innovations by feature of business  (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",35.7171822133235,,
"IT","Italy","RALLX","innovation expenditure  (thousands of euro)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",30561452,,
"IT","Italy","RXEPPI","innovation expenditure per number of persons employed","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",7.8,,
"IT","Italy","COALL","enterprise with product o process innovation activities that had co-operation arrangements on innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",8157,,
"IT","Italy","COALLP","enterprise with product o process innovation activities that had co-operation arrangements on innovation activities (percentage of enterprises with innovative product / process activities)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",13.6,,
"ITC","Nord-ovest","POPU","total enterprises","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",52790,,
"ITC","Nord-ovest","POPI","enterprises with innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",28156,,
"ITC","Nord-ovest","POPIP","enterprises with innovation activities (percentage of on total enterprises)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",53.3,,
"ITC","Nord-ovest","PTC","enterprises with product o process innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",21893,,
"ITC","Nord-ovest","PTCP","enterprises with product o process innovation activities (percentage on total enterprises)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",41.5,,
"ITC","Nord-ovest","PTCS","enterprises that have introduced product o process innovations ","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",20485,,
"ITC","Nord-ovest","PTCSC","enterprises that have introduced product o process innovations by feature of business  (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",38.8046978594431,,
"ITC","Nord-ovest","RALLX","innovation expenditure  (thousands of euro)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",12258740,,
"ITC","Nord-ovest","RXEPPI","innovation expenditure per number of persons employed","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",7.9,,
"ITC","Nord-ovest","COALL","enterprise with product o process innovation activities that had co-operation arrangements on innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",3199,,
"ITC","Nord-ovest","COALLP","enterprise with product o process innovation activities that had co-operation arrangements on innovation activities (percentage of enterprises with innovative product / process activities)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",14.6,,
"ITC1","Piemonte","POPU","total enterprises","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",11866,,
"ITC1","Piemonte","POPI","enterprises with innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",5999,,
"ITC1","Piemonte","POPIP","enterprises with innovation activities (percentage of on total enterprises)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",50.6,,
"ITC1","Piemonte","PTC","enterprises with product o process innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",4846,,
"ITC1","Piemonte","PTCP","enterprises with product o process innovation activities (percentage on total enterprises)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",40.8,,
"ITC1","Piemonte","PTCS","enterprises that have introduced product o process innovations ","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",4492,,
"ITC1","Piemonte","PTCSC","enterprises that have introduced product o process innovations by feature of business  (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",37.8560593291758,,
"ITC1","Piemonte","RALLX","innovation expenditure  (thousands of euro)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",3855089,,
"ITC1","Piemonte","RXEPPI","innovation expenditure per number of persons employed","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",9.7,,
"ITC1","Piemonte","COALL","enterprise with product o process innovation activities that had co-operation arrangements on innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",587,,
"ITC1","Piemonte","COALLP","enterprise with product o process innovation activities that had co-operation arrangements on innovation activities (percentage of enterprises with innovative product / process activities)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",12.1,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POPU","total enterprises","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",279,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POPI","enterprises with innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",79,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","POPIP","enterprises with innovation activities (percentage of on total enterprises)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",28.3,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PTC","enterprises with product o process innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",62,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PTCP","enterprises with product o process innovation activities (percentage on total enterprises)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",22.2,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PTCS","enterprises that have introduced product o process innovations ","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",53,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","PTCSC","enterprises that have introduced product o process innovations by feature of business  (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",18.9964157706093,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","RALLX","innovation expenditure  (thousands of euro)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",15124,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","RXEPPI","innovation expenditure per number of persons employed","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",3.6,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","COALL","enterprise with product o process innovation activities that had co-operation arrangements on innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",8,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","COALLP","enterprise with product o process innovation activities that had co-operation arrangements on innovation activities (percentage of enterprises with innovative product / process activities)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",12.9,,
"ITC3","Liguria","POPU","total enterprises","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",3223,,
"ITC3","Liguria","POPI","enterprises with innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",1542,,
"ITC3","Liguria","POPIP","enterprises with innovation activities (percentage of on total enterprises)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",47.8,,
"ITC3","Liguria","PTC","enterprises with product o process innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",974,,
"ITC3","Liguria","PTCP","enterprises with product o process innovation activities (percentage on total enterprises)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",30.2,,
"ITC3","Liguria","PTCS","enterprises that have introduced product o process innovations ","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",884,,
"ITC3","Liguria","PTCSC","enterprises that have introduced product o process innovations by feature of business  (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",27.4278622401489,,
"ITC3","Liguria","RALLX","innovation expenditure  (thousands of euro)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",460880,,
"ITC3","Liguria","RXEPPI","innovation expenditure per number of persons employed","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",7.2,,
"ITC3","Liguria","COALL","enterprise with product o process innovation activities that had co-operation arrangements on innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",113,,
"ITC3","Liguria","COALLP","enterprise with product o process innovation activities that had co-operation arrangements on innovation activities (percentage of enterprises with innovative product / process activities)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",11.6,,
"ITC4","Lombardia","POPU","total enterprises","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",37422,,
"ITC4","Lombardia","POPI","enterprises with innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",20535,,
"ITC4","Lombardia","POPIP","enterprises with innovation activities (percentage of on total enterprises)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",54.9,,
"ITC4","Lombardia","PTC","enterprises with product o process innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",16011,,
"ITC4","Lombardia","PTCP","enterprises with product o process innovation activities (percentage on total enterprises)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",42.8,,
"ITC4","Lombardia","PTCS","enterprises that have introduced product o process innovations ","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",15056,,
"ITC4","Lombardia","PTCSC","enterprises that have introduced product o process innovations by feature of business  (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",40.2330180107958,,
"ITC4","Lombardia","RALLX","innovation expenditure  (thousands of euro)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",7927645,,
"ITC4","Lombardia","RXEPPI","innovation expenditure per number of persons employed","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",7.3,,
"ITC4","Lombardia","COALL","enterprise with product o process innovation activities that had co-operation arrangements on innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",2491,,
"ITC4","Lombardia","COALLP","enterprise with product o process innovation activities that had co-operation arrangements on innovation activities (percentage of enterprises with innovative product / process activities)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",15.6,,
"ITD","Nord-est","POPU","total enterprises","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",42079,,
"ITD","Nord-est","POPI","enterprises with innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",22121,,
"ITD","Nord-est","POPIP","enterprises with innovation activities (percentage of on total enterprises)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",52.6,,
"ITD","Nord-est","PTC","enterprises with product o process innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",18541,,
"ITD","Nord-est","PTCP","enterprises with product o process innovation activities (percentage on total enterprises)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",44.1,,
"ITD","Nord-est","PTCS","enterprises that have introduced product o process innovations ","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",17419,,
"ITD","Nord-est","PTCSC","enterprises that have introduced product o process innovations by feature of business  (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",41.3959457211436,,
"ITD","Nord-est","RALLX","innovation expenditure  (thousands of euro)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",8467591,,
"ITD","Nord-est","RXEPPI","innovation expenditure per number of persons employed","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",8,,
"ITD","Nord-est","COALL","enterprise with product o process innovation activities that had co-operation arrangements on innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",2030,,
"ITD","Nord-est","COALLP","enterprise with product o process innovation activities that had co-operation arrangements on innovation activities (percentage of enterprises with innovative product / process activities)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",10.9,,
"ITDA","Trentino Alto Adige / Südtirol","POPU","total enterprises","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",3787,,
"ITDA","Trentino Alto Adige / Südtirol","POPI","enterprises with innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",1690,,
"ITDA","Trentino Alto Adige / Südtirol","POPIP","enterprises with innovation activities (percentage of on total enterprises)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",44.6,,
"ITDA","Trentino Alto Adige / Südtirol","PTC","enterprises with product o process innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",1282,,
"ITDA","Trentino Alto Adige / Südtirol","PTCP","enterprises with product o process innovation activities (percentage on total enterprises)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",33.9,,
"ITDA","Trentino Alto Adige / Südtirol","PTCS","enterprises that have introduced product o process innovations ","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",1198,,
"ITDA","Trentino Alto Adige / Südtirol","PTCSC","enterprises that have introduced product o process innovations by feature of business  (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",31.6345392130974,,
"ITDA","Trentino Alto Adige / Südtirol","RALLX","innovation expenditure  (thousands of euro)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",459707,,
"ITDA","Trentino Alto Adige / Südtirol","RXEPPI","innovation expenditure per number of persons employed","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",6.4,,
"ITDA","Trentino Alto Adige / Südtirol","COALL","enterprise with product o process innovation activities that had co-operation arrangements on innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",152,,
"ITDA","Trentino Alto Adige / Südtirol","COALLP","enterprise with product o process innovation activities that had co-operation arrangements on innovation activities (percentage of enterprises with innovative product / process activities)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",11.9,,
"ITD1","Provincia Autonoma Bolzano / Bozen","POPU","total enterprises","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",2125,,
"ITD1","Provincia Autonoma Bolzano / Bozen","POPI","enterprises with innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",931,,
"ITD1","Provincia Autonoma Bolzano / Bozen","POPIP","enterprises with innovation activities (percentage of on total enterprises)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",43.8,,
"ITD1","Provincia Autonoma Bolzano / Bozen","PTC","enterprises with product o process innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",713,,
"ITD1","Provincia Autonoma Bolzano / Bozen","PTCP","enterprises with product o process innovation activities (percentage on total enterprises)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",33.6,,
"ITD1","Provincia Autonoma Bolzano / Bozen","PTCS","enterprises that have introduced product o process innovations ","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",654,,
"ITD1","Provincia Autonoma Bolzano / Bozen","PTCSC","enterprises that have introduced product o process innovations by feature of business  (percent)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",30.7764705882353,,
"ITD1","Provincia Autonoma Bolzano / Bozen","RALLX","innovation expenditure  (thousands of euro)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",244976,,
"ITD1","Provincia Autonoma Bolzano / Bozen","RXEPPI","innovation expenditure per number of persons employed","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",6.3,,
"ITD1","Provincia Autonoma Bolzano / Bozen","COALL","enterprise with product o process innovation activities that had co-operation arrangements on innovation activities","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",87,,
"ITD1","Provincia Autonoma Bolzano / Bozen","COALLP","enterprise with product o process innovation activities that had co-operation arrangements on innovation activities (percentage of enterprises with innovative product / process activities)","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",12.2,,
"ITD2","Provincia Autonoma Trento","POPU","total enterprises","00100","total industry and services  (b-f, g, h, k, 58 , 61 to 63, 70 to 74)","W_GE10","10 and over","2016","2016",1662,,
