"TIME","GEO","UNIT","Value"
"2010","Piemonte","Million euro","124 550.57"
"2010","Valle d'Aosta/Vallée d'Aoste","Million euro","4 737.8"
"2010","Liguria","Million euro","46 095.02"
"2010","Lombardia","Million euro","349 558.17"
"2010","Provincia Autonoma di Bolzano/Bozen","Million euro","20 011.83"
"2010","Provincia Autonoma di Trento","Million euro","18 381.25"
"2010","Veneto","Million euro","143 256.75"
"2010","Friuli-Venezia Giulia","Million euro","34 916.35"
"2010","Emilia-Romagna","Million euro","137 950"
"2010","Toscana","Million euro","105 269.65"
"2010","Umbria","Million euro","22 180.13"
"2010","Marche","Million euro","39 430.93"
"2010","Lazio","Million euro","187 670.27"
"2010","Abruzzo","Million euro","30 810.87"
"2010","Molise","Million euro","6 688.44"
"2010","Campania","Million euro","102 910.26"
"2010","Puglia","Million euro","70 181.88"
"2010","Basilicata","Million euro","11 193.34"
"2010","Calabria","Million euro","33 038.42"
"2010","Sicilia","Million euro","88 256.31"
"2010","Sardegna","Million euro","32 779.85"
"2011","Piemonte","Million euro","127 658.92"
"2011","Valle d'Aosta/Vallée d'Aoste","Million euro","4 838.8"
"2011","Liguria","Million euro","47 152.07"
"2011","Lombardia","Million euro","357 748.42"
"2011","Provincia Autonoma di Bolzano/Bozen","Million euro","20 728.88"
"2011","Provincia Autonoma di Trento","Million euro","18 859.09"
"2011","Veneto","Million euro","148 113.35"
"2011","Friuli-Venezia Giulia","Million euro","35 685.84"
"2011","Emilia-Romagna","Million euro","143 928.65"
"2011","Toscana","Million euro","108 102.64"
"2011","Umbria","Million euro","22 427.21"
"2011","Marche","Million euro","40 101.9"
"2011","Lazio","Million euro","191 721.46"
"2011","Abruzzo","Million euro","32 245.32"
"2011","Molise","Million euro","6 700.02"
"2011","Campania","Million euro","102 994.62"
"2011","Puglia","Million euro","71 743.43"
"2011","Basilicata","Million euro","11 562.09"
"2011","Calabria","Million euro","33 276.96"
"2011","Sicilia","Million euro","88 279.15"
"2011","Sardegna","Million euro","33 322.27"
"2012","Piemonte","Million euro","123 364.93"
"2012","Valle d'Aosta/Vallée d'Aoste","Million euro","4 879.29"
"2012","Liguria","Million euro","46 307.28"
"2012","Lombardia","Million euro","351 390.02"
"2012","Provincia Autonoma di Bolzano/Bozen","Million euro","21 599.75"
"2012","Provincia Autonoma di Trento","Million euro","18 884.59"
"2012","Veneto","Million euro","145 472.27"
"2012","Friuli-Venezia Giulia","Million euro","34 547.66"
"2012","Emilia-Romagna","Million euro","141 966.1"
"2012","Toscana","Million euro","107 566.5"
"2012","Umbria","Million euro","21 810.99"
"2012","Marche","Million euro","39 243.69"
"2012","Lazio","Million euro","186 655.15"
"2012","Abruzzo","Million euro","32 213.3"
"2012","Molise","Million euro","6 490.28"
"2012","Campania","Million euro","102 632.61"
"2012","Puglia","Million euro","72 225.26"
"2012","Basilicata","Million euro","11 500.7"
"2012","Calabria","Million euro","32 709.18"
"2012","Sicilia","Million euro","87 921.76"
"2012","Sardegna","Million euro","33 346.78"
"2013","Piemonte","Million euro","124 536.94"
"2013","Valle d'Aosta/Vallée d'Aoste","Million euro","4 680.43"
"2013","Liguria","Million euro","45 756.24"
"2013","Lombardia","Million euro","348 117.37"
"2013","Provincia Autonoma di Bolzano/Bozen","Million euro","21 874.31"
"2013","Provincia Autonoma di Trento","Million euro","19 375.6"
"2013","Veneto","Million euro","145 522.38"
"2013","Friuli-Venezia Giulia","Million euro","34 859.19"
"2013","Emilia-Romagna","Million euro","143 074.67"
"2013","Toscana","Million euro","106 707.52"
"2013","Umbria","Million euro","21 452.99"
"2013","Marche","Million euro","38 722.87"
"2013","Lazio","Million euro","184 287.14"
"2013","Abruzzo","Million euro","31 695.39"
"2013","Molise","Million euro","6 078.4"
"2013","Campania","Million euro","100 834.78"
"2013","Puglia","Million euro","70 433.03"
"2013","Basilicata","Million euro","11 807.8"
"2013","Calabria","Million euro","32 097.04"
"2013","Sicilia","Million euro","86 559.94"
"2013","Sardegna","Million euro","32 453.48"
"2014","Piemonte","Million euro","124 277.65"
"2014","Valle d'Aosta/Vallée d'Aoste","Million euro","4 643.65"
"2014","Liguria","Million euro","46 573.52"
"2014","Lombardia","Million euro","355 346.9"
"2014","Provincia Autonoma di Bolzano/Bozen","Million euro","22 144.04"
"2014","Provincia Autonoma di Trento","Million euro","19 384.64"
"2014","Veneto","Million euro","147 834.54"
"2014","Friuli-Venezia Giulia","Million euro","35 078.45"
"2014","Emilia-Romagna","Million euro","145 927.6"
"2014","Toscana","Million euro","108 725.25"
"2014","Umbria","Million euro","21 061.51"
"2014","Marche","Million euro","39 638.76"
"2014","Lazio","Million euro","184 996.61"
"2014","Abruzzo","Million euro","31 656.85"
"2014","Molise","Million euro","6 009.55"
"2014","Campania","Million euro","101 232.98"
"2014","Puglia","Million euro","70 821.54"
"2014","Basilicata","Million euro","11 390.16"
"2014","Calabria","Million euro","31 844.43"
"2014","Sicilia","Million euro","84 812.67"
"2014","Sardegna","Million euro","32 510.86"
"2015","Piemonte","Million euro","126 868.33"
"2015","Valle d'Aosta/Vallée d'Aoste","Million euro","4 653.42"
"2015","Liguria","Million euro","47 179.51"
"2015","Lombardia","Million euro","362 329.59"
"2015","Provincia Autonoma di Bolzano/Bozen","Million euro","22 620.1"
"2015","Provincia Autonoma di Trento","Million euro","19 333.75"
"2015","Veneto","Million euro","150 835.81"
"2015","Friuli-Venezia Giulia","Million euro","36 076.43"
"2015","Emilia-Romagna","Million euro","148 780.48"
"2015","Toscana","Million euro","109 850.44"
"2015","Umbria","Million euro","21 638.94"
"2015","Marche","Million euro","39 890.41"
"2015","Lazio","Million euro","185 551.06"
"2015","Abruzzo","Million euro","31 863.76"
"2015","Molise","Million euro","6 128.39"
"2015","Campania","Million euro","103 763.76"
"2015","Puglia","Million euro","72 334.52"
"2015","Basilicata","Million euro","12 367.81"
"2015","Calabria","Million euro","32 118.61"
"2015","Sicilia","Million euro","86 154.39"
"2015","Sardegna","Million euro","33 735.31"
"2016","Piemonte","Million euro","130 055.85"
"2016","Valle d'Aosta/Vallée d'Aoste","Million euro","4 610.12"
"2016","Liguria","Million euro","48 062.44"
"2016","Lombardia","Million euro","372 994.24"
"2016","Provincia Autonoma di Bolzano/Bozen","Million euro","23 095.04"
"2016","Provincia Autonoma di Trento","Million euro","19 654.76"
"2016","Veneto","Million euro","155 743.69"
"2016","Friuli-Venezia Giulia","Million euro","36 552.39"
"2016","Emilia-Romagna","Million euro","153 153.01"
"2016","Toscana","Million euro","112 271.22"
"2016","Umbria","Million euro","21 742.47"
"2016","Marche","Million euro","40 625.91"
"2016","Lazio","Million euro","193 373.72"
"2016","Abruzzo","Million euro","31 950.73"
"2016","Molise","Million euro","6 178.6"
"2016","Campania","Million euro","105 486.31"
"2016","Puglia","Million euro","73 629.79"
"2016","Basilicata","Million euro","12 321.13"
"2016","Calabria","Million euro","32 662.81"
"2016","Sicilia","Million euro","86 687.5"
"2016","Sardegna","Million euro","33 483.24"
"2017","Piemonte","Million euro","134 451.01"
"2017","Valle d'Aosta/Vallée d'Aoste","Million euro","4 776.17"
"2017","Liguria","Million euro","49 129.98"
"2017","Lombardia","Million euro","383 034.59"
"2017","Provincia Autonoma di Bolzano/Bozen","Million euro","23 954.43"
"2017","Provincia Autonoma di Trento","Million euro","20 063.39"
"2017","Veneto","Million euro","159 952.53"
"2017","Friuli-Venezia Giulia","Million euro","37 388.32"
"2017","Emilia-Romagna","Million euro","157 584.18"
"2017","Toscana","Million euro","114 676.02"
"2017","Umbria","Million euro","22 264.42"
"2017","Marche","Million euro","41 526.39"
"2017","Lazio","Million euro","196 335.99"
"2017","Abruzzo","Million euro","32 809.69"
"2017","Molise","Million euro","6 325.49"
"2017","Campania","Million euro","107 717.66"
"2017","Puglia","Million euro","74 784"
"2017","Basilicata","Million euro","12 448.54"
"2017","Calabria","Million euro","33 343.12"
"2017","Sicilia","Million euro","88 443.98"
"2017","Sardegna","Million euro","34 123.91"
"2018","Piemonte","Million euro","137 244.62"
"2018","Valle d'Aosta/Vallée d'Aoste","Million euro","4 892.93"
"2018","Liguria","Million euro","49 908.85"
"2018","Lombardia","Million euro","388 064.73"
"2018","Provincia Autonoma di Bolzano/Bozen","Million euro","24 847.51"
"2018","Provincia Autonoma di Trento","Million euro","20 489.18"
"2018","Veneto","Million euro","163 303.61"
"2018","Friuli-Venezia Giulia","Million euro","38 018.57"
"2018","Emilia-Romagna","Million euro","161 395.08"
"2018","Toscana","Million euro","117 638.34"
"2018","Umbria","Million euro","22 482.5"
"2018","Marche","Million euro","43 202.43"
"2018","Lazio","Million euro","197 659.78"
"2018","Abruzzo","Million euro","33 862.8"
"2018","Molise","Million euro","6 463.41"
"2018","Campania","Million euro","107 854.14"
"2018","Puglia","Million euro","76 649.18"
"2018","Basilicata","Million euro","12 577.07"
"2018","Calabria","Million euro","33 299.9"
"2018","Sicilia","Million euro","89 189.48"
"2018","Sardegna","Million euro","34 925.53"
